backend,model,mode,language,category,attempts,exact_rate,pass_rate,ok_rate,parse_error_rate,non_completable_rate,incomplete_rate,semantic_mismatch_rate,timeout_rate,other_error_rate,avg_tokens,avg_seconds
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,fun,fun:function_higher_order,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,184.0,6.08
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,imp,imp:arithmetic,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,20.0,0.82
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,imp,imp:assignment,3,66.67,66.67,66.67,0.0,0.0,0.0,33.33,0.0,0.0,14.67,0.65
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,imp,imp:boolean,2,0.0,50.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,20.0,0.83
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,imp,imp:branching,6,0.0,0.0,0.0,0.0,66.67,0.0,33.33,0.0,0.0,39.83,1.46
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,imp,imp:loops,4,0.0,0.0,0.0,0.0,75.0,0.0,25.0,0.0,0.0,45.25,1.63
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,imp,imp:mixed_control,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,57.5,2.02
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,imp,imp:nested_branching,3,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,34.67,1.29
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,imp,imp:sequence,3,0.0,33.33,33.33,0.0,66.67,0.0,0.0,0.0,0.0,22.33,0.9
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,imp,imp:while_loop,3,33.33,33.33,33.33,0.0,66.67,0.0,0.0,0.0,0.0,22.0,0.88
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,stlc,stlc:logic_application,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,17.0,0.73
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,stlc,stlc:logic_argument_order,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,23.0,0.92
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,stlc,stlc:logic_choice,2,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,7.0,0.4
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,stlc,stlc:logic_composition,6,0.0,0.0,0.0,0.0,83.33,0.0,16.67,0.0,0.0,33.67,1.26
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,stlc,stlc:logic_continuation,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,8.0,0.44
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,stlc,stlc:logic_contraction,2,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,14.0,0.63
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,stlc,stlc:logic_elimination,1,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.53
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,stlc,stlc:logic_eta,1,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.4
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,stlc,stlc:logic_function_result,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,22.0,0.89
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,stlc,stlc:logic_higher_order,3,0.0,0.0,0.0,0.0,66.67,0.0,33.33,0.0,0.0,6.33,0.38
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,stlc,stlc:logic_identity,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,3.0,0.27
local,Qwen/Qwen3.5-0.8B,unconstrained_raw,stlc,stlc:logic_modus_ponens,2,50.0,50.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,7.0,0.4
